"sub_num","list","practice","target","abs_order","order","onset","FP","LP","resp","score","phase","class","ls_order","resp_dur","RT","cond_list"
30,3,"T","finger",52,7,3642642.93727086,3642643.39769384,3642643.88565536,"ring",1,"prac","np",7,0.487961519975215,1.45591341005638,2
30,3,"T","forest",53,8,3642644.32048942,3642645.94957226,3642647.19747066,"lobster",1,"prac","np",8,1.24789839982986,2.5518784201704,2
30,3,"T","hurricane",54,9,3642647.62024753,3642649.70933377,3642650.80525802,"finger",1,"prac","np",9,1.09592424985021,3.7597615099512,2
30,3,"T","bolt",55,10,3642651.21998347,3642651.75720429,3642653.44510314,"piano",1,"prac","np",10,1.68789885006845,2.04787052003667,2
30,3,"T","babe",56,11,3642653.9697835,3642659.52479084,3642660.02071532,"babe",1,"prac","np",11,0.495924479793757,7.76758655020967,2
30,3,"T","bullet",57,12,3642660.38598376,3642670.16416628,3642671.23606728,"diamond",0,"prac","np",12,1.07190100010484,10.639375439845,2
30,5,"T","factory",76,1,3643195.54684877,3643197.4052783,3643198.02919295,"siren",1,"prac","np",1,0.62391465017572,1.85842952970415,3
30,5,"T","quarter",77,2,3643198.46330017,3643200.27707233,3643201.0370376,"crowd",1,"prac","np",2,0.759965269826353,2.8717940300703,3
30,5,"T","president",78,3,3643201.46308133,3643201.88498104,3643202.39693742,"kiss",1,"prac","np",3,0.511956380214542,1.60790870990604,3
30,5,"T","costume",79,4,3643202.72964885,3643203.21289162,3643204.15681877,"prince",1,"prac","np",4,0.943927149754018,1.32791058020666,3
30,5,"T","grass",80,5,3643204.89615836,3643207.7646665,3643208.84456006,"liquor",1,"prac","np",5,1.07989356014878,4.5517748799175,3
30,5,"T","prince",81,6,3643209.36250143,3643211.46041513,3643212.26035102,"grass",1,"prac","np",6,0.799935889896005,3.69574862997979,3
30,5,"T","wing",82,7,3643212.7289531,3643213.73230177,3643214.05226417,"cow",1,"prac","np",7,0.319962400011718,2.27188663976267,3
30,5,"T","brake",83,8,3643214.54546119,3643231.18733832,3643231.83522459,"brake",1,"prac","np",8,0.647886269725859,17.4550365502946,3
30,5,"T","liquor",84,9,3643232.26082582,3643237.40293086,3643238.93879488,"medicine",1,"prac","np",9,1.53586402023211,6.21559253986925,3
30,5,"T","cow",85,10,3643239.36033176,3643276.35265101,3643276.89657339,"kiss",2,"prac","np",10,0.543922380078584,0,3
30,7,"T","crab",106,1,3643764.23861999,3643764.79603092,3643765.41194968,"robin",1,"prac","np",1,0.615918760187924,0.557410929817706,4
30,7,"T","salmon",107,2,3643766.20517676,3643766.74787335,3643768.81172264,"sword",1,"prac","np",2,2.06384928990155,1.95184243004769,4
30,7,"T","bench",108,3,3643769.25492173,3643769.53970832,3643770.40365347,"arrow",1,"prac","np",3,0.863945149816573,2.79183497000486,4
30,7,"T","garden",109,4,3643771.35478778,3643772.10755736,3643772.58752269,"hair",1,"prac","np",4,0.47996533010155,2.56784904003143,4
30,7,"T","bread",110,5,3643773.08792928,3643773.99544637,3643774.77939684,"surf",1,"prac","np",5,0.783950469922274,1.88788900990039,4
30,7,"T","vodka",111,6,3643775.55445889,3643778.20323439,3643778.78716362,"bird",1,"prac","np",6,0.583929229993373,4.20778801990673,4
30,7,"T","mansion",112,7,3643779.43752079,3643780.95506402,3643783.41889755,"television",1,"prac","np",7,2.46383352996781,2.75182963022962,4
30,7,"T","bird",113,8,3643783.98718517,3643790.7545064,3643791.50642568,"bench",1,"prac","np",8,0.751919280271977,9.79944237973541,4
30,7,"T","surf",114,9,3643792.00326898,3643792.65835305,3643797.04209471,"salmon",1,"prac","np",9,4.3837416600436,1.90384664991871,4
30,7,"T","television",115,10,3643797.53620964,3643802.39382298,3643803.02574587,"bread",1,"prac","np",10,0.631922889966518,9.7354699303396,4
30,7,"T","hair",116,11,3643803.51910498,3643837.85575187,3643838.55967266,"vodka",1,"prac","np",11,0.703920789994299,35.4619288900867,4
30,1,"T","boss",16,NA,3642175.47151881,3642179.92089728,3642180.4408432,"dice",1,"final","tp",1,0.519945919979364,4.4493784699589,1
30,1,"T","cookie",17,NA,3642180.77114953,3642181.49678656,3642182.18473944,"trahs",1,"final","tp",2,0.687952880281955,1.57588928006589,1
30,1,"T","tape",18,NA,3642182.621013,3642183.4486474,3642184.9125896,"trash",2,"final","tp",3,1.46394219994545,0,1
30,1,"T","shore",19,NA,3642185.32081481,3642185.89652299,3642187.88839581,"metal",1,"final","tp",4,1.99187282007188,2.44787559006363,1
30,1,"T","ribbon",20,NA,3642188.42060539,3642189.26433779,3642190.32828004,"copper",1,"final","tp",5,1.06394224986434,3.36781480023637,1
30,1,"T","ridge",21,NA,3642191.63699178,3642194.61602894,3642195.26394962,"shore",1,"final","tp",6,0.647920680232346,5.35169114964083,1
30,1,"T","metal",22,NA,3642195.65336597,3642196.2398986,3642196.79191073,"boss",1,"final","tp",7,0.552012129686773,1.62386966031045,1
30,1,"T","mattress",23,NA,3642197.18659579,3642200.65567417,3642201.09563085,"tape",1,"final","tp",8,0.439956680405885,4.41577556962147,1
30,1,"T","trash",24,NA,3642201.48626575,3642202.30356376,3642204.82340313,"photograph",1,"final","tp",9,2.51983936969191,1.6478895903565,1
30,1,"T","feast",25,NA,3642205.73597794,3642207.44726767,3642208.09519529,"pants",1,"final","tp",10,0.647927619982511,5.1437039100565,1
30,1,"T","photograph",26,NA,3642208.60241603,3642209.00714618,3642209.79910129,"ribbon",1,"final","tp",11,0.791955109685659,1.55987850995734,1
30,1,"T","pants",27,NA,3642210.30229269,3642216.22274324,3642216.86269642,"shore",2,"final","tp",12,0.639953179750592,0,1
30,1,"T","dice",28,NA,3642217.38510177,3642219.75055555,3642221.2384582,"tail",1,"final","tp",13,1.48790264967829,3.52781231002882,1
30,1,"T","copper",29,NA,3642221.70146377,3642228.3580477,3642229.74993012,"mattress",1,"final","tp",14,1.39188242005184,8.60749214980751,1
30,2,"S","strawberry",31,NA,3642444.05181563,3642444.7293615,3642445.40929194,"clown",1,"final","sp",1,0.67993043968454,0.677545870188624,1
30,2,"S","crown",32,NA,3642445.91834367,3642446.72122104,3642447.05719753,"ant",1,"final","sp",2,0.335976489819586,1.99185953987762,1
30,2,"S","diamond",33,NA,3642447.41824527,3642447.85715002,3642448.23312701,"ski",1,"final","sp",3,0.375976989977062,1.13592898007482,1
30,2,"S","cane",34,NA,3642448.73480406,3642449.22509461,3642450.94496791,"portrait",1,"final","sp",4,1.71987330028787,1.36794458981603,1
30,2,"S","dentist",35,NA,3642451.3346197,3642451.91291619,3642452.77686014,"pony",1,"final","sp",5,0.863943949807435,2.68782158009708,1
30,2,"S","ski",36,NA,3642453.31781508,3642454.96875028,3642460.74439459,"strawberry",1,"final","sp",6,5.77564431028441,3.0558340898715,1
30,2,"S","ant",37,NA,3642461.28389101,3642464.80820131,3642465.60810792,"cane",1,"final","sp",7,0.799906609579921,9.8394510303624,1
30,2,"S","path",38,NA,3642466.050224,3642469.45591976,3642470.28783794,"pony",2,"final","sp",8,0.831918179988861,0,1
30,2,"S","clown",39,NA,3642470.8165271,3642472.01578619,3642472.99167753,"knight",1,"final","sp",9,0.975891340058297,2.55986643023789,1
