subject,group,practice,other_type,timepoint,acc,n,chain,nplus,acc_plus,nneg,acc_neg
50,delay,C,T,1,NA,15,1,NA,NA,NA,NA
50,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
50,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
50,delay,T,C,1,0.933333333333333,15,4,NA,NA,NA,NA
50,delay,T,NA,1,0.866666666666667,15,5,NA,NA,NA,NA
50,delay,C,T,3,0.6,15,1,14,0.642857142857143,1,0
50,delay,C,NA,3,0.6,15,2,NA,NA,NA,NA
50,delay,S,NA,3,0.866666666666667,15,3,NA,NA,NA,NA
50,delay,T,C,3,NA,15,4,NA,NA,NA,NA
50,delay,T,NA,3,0.866666666666667,15,5,13,0.923076923076923,2,0.5
51,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
51,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
51,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
51,immediate,T,C,1,0.266666666666667,15,4,NA,NA,NA,NA
51,immediate,T,NA,1,0.4,15,5,NA,NA,NA,NA
51,immediate,C,T,2,0.266666666666667,15,1,4,0.75,11,0.0909090909090909
51,immediate,C,NA,2,0.333333333333333,15,2,NA,NA,NA,NA
51,immediate,S,NA,2,0.533333333333333,15,3,NA,NA,NA,NA
51,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
51,immediate,T,NA,2,0.466666666666667,15,5,6,1,9,0.111111111111111
52,delay,C,T,1,NA,15,1,NA,NA,NA,NA
52,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
52,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
52,delay,T,C,1,0.4,15,4,NA,NA,NA,NA
52,delay,T,NA,1,0.666666666666667,15,5,NA,NA,NA,NA
52,delay,C,T,3,0.4,15,1,6,0.5,9,0.333333333333333
52,delay,C,NA,3,0.333333333333333,15,2,NA,NA,NA,NA
52,delay,S,NA,3,0.6,15,3,NA,NA,NA,NA
52,delay,T,C,3,NA,15,4,NA,NA,NA,NA
52,delay,T,NA,3,0.533333333333333,15,5,10,0.8,5,0
53,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
53,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
53,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
53,immediate,T,C,1,0.4,15,4,NA,NA,NA,NA
53,immediate,T,NA,1,0.266666666666667,15,5,NA,NA,NA,NA
53,immediate,C,T,2,0.266666666666667,15,1,6,0.333333333333333,9,0.222222222222222
53,immediate,C,NA,2,0,15,2,NA,NA,NA,NA
53,immediate,S,NA,2,0.333333333333333,15,3,NA,NA,NA,NA
53,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
53,immediate,T,NA,2,0.266666666666667,15,5,4,1,11,0
54,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
54,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
54,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
54,immediate,T,C,1,0.533333333333333,15,4,NA,NA,NA,NA
54,immediate,T,NA,1,0.866666666666667,15,5,NA,NA,NA,NA
54,immediate,C,T,2,0.533333333333333,15,1,8,0.625,7,0.428571428571429
54,immediate,C,NA,2,0.466666666666667,15,2,NA,NA,NA,NA
54,immediate,S,NA,2,0.866666666666667,15,3,NA,NA,NA,NA
54,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
54,immediate,T,NA,2,0.866666666666667,15,5,13,1,2,0
56,delay,C,T,1,NA,15,1,NA,NA,NA,NA
56,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
56,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
56,delay,T,C,1,0.933333333333333,15,4,NA,NA,NA,NA
56,delay,T,NA,1,0.933333333333333,15,5,NA,NA,NA,NA
56,delay,C,T,3,0.6,15,1,14,0.642857142857143,1,0
56,delay,C,NA,3,0.666666666666667,15,2,NA,NA,NA,NA
56,delay,S,NA,3,0.8,15,3,NA,NA,NA,NA
56,delay,T,C,3,NA,15,4,NA,NA,NA,NA
56,delay,T,NA,3,0.866666666666667,15,5,14,0.928571428571429,1,0
57,delay,C,T,1,NA,15,1,NA,NA,NA,NA
57,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
57,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
57,delay,T,C,1,0.4,15,4,NA,NA,NA,NA
57,delay,T,NA,1,0.6,15,5,NA,NA,NA,NA
57,delay,C,T,3,0.2,15,1,6,0.333333333333333,9,0.111111111111111
57,delay,C,NA,3,0.2,15,2,NA,NA,NA,NA
57,delay,S,NA,3,0.466666666666667,15,3,NA,NA,NA,NA
57,delay,T,C,3,NA,15,4,NA,NA,NA,NA
57,delay,T,NA,3,0.6,15,5,9,1,6,0
58,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
58,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
58,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
58,immediate,T,C,1,0.4,15,4,NA,NA,NA,NA
58,immediate,T,NA,1,0.533333333333333,15,5,NA,NA,NA,NA
58,immediate,C,T,2,0.333333333333333,15,1,6,0.333333333333333,9,0.333333333333333
58,immediate,C,NA,2,0.6,15,2,NA,NA,NA,NA
58,immediate,S,NA,2,0.8,15,3,NA,NA,NA,NA
58,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
58,immediate,T,NA,2,0.533333333333333,15,5,8,1,7,0
59,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
59,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
59,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
59,immediate,T,C,1,0.266666666666667,15,4,NA,NA,NA,NA
59,immediate,T,NA,1,0.666666666666667,15,5,NA,NA,NA,NA
59,immediate,C,T,2,0.466666666666667,15,1,4,1,11,0.272727272727273
59,immediate,C,NA,2,0.4,15,2,NA,NA,NA,NA
59,immediate,S,NA,2,0.866666666666667,15,3,NA,NA,NA,NA
59,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
59,immediate,T,NA,2,0.666666666666667,15,5,10,1,5,0
60,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
60,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
60,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
60,immediate,T,C,1,0.533333333333333,15,4,NA,NA,NA,NA
60,immediate,T,NA,1,0.6,15,5,NA,NA,NA,NA
60,immediate,C,T,2,0.8,15,1,8,1,7,0.571428571428571
60,immediate,C,NA,2,0.466666666666667,15,2,NA,NA,NA,NA
60,immediate,S,NA,2,0.666666666666667,15,3,NA,NA,NA,NA
60,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
