subject,group,practice,other_type,prac_acc,final_acc,n,chain,acc_plus,nplus,acc_neg,nneg,prac_and_final,prac_and_not_final,not_prac_and_final,not_prac_and_not_final
59,immediate,C,T,NA,0.466666666666667,15,1,1,4,0.272727272727273,11,0.266666666666667,0,0.2,0.533333333333333
59,immediate,C,NA,NA,0.4,15,2,NA,NA,NA,NA,NA,NA,NA,NA
59,immediate,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
59,immediate,T,C,0.266666666666667,NA,15,4,NA,4,NA,11,NA,NA,NA,NA
59,immediate,T,NA,0.666666666666667,0.666666666666667,15,5,1,10,0,5,0.666666666666667,0,0,0.333333333333333
60,immediate,C,T,NA,0.8,15,1,1,8,0.571428571428571,7,0.533333333333333,0,0.266666666666667,0.2
60,immediate,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
60,immediate,S,NA,NA,0.666666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
60,immediate,T,C,0.533333333333333,NA,15,4,NA,8,NA,7,NA,NA,NA,NA
60,immediate,T,NA,0.6,0.533333333333333,15,5,0.888888888888889,9,0,6,0.533333333333333,0.0666666666666667,0,0.4
61,delay,C,T,NA,0.266666666666667,15,1,0.444444444444444,9,0,6,0.266666666666667,0.333333333333333,0,0.4
61,delay,C,NA,NA,0.0666666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
61,delay,S,NA,NA,0.6,15,3,NA,NA,NA,NA,NA,NA,NA,NA
61,delay,T,C,0.6,NA,15,4,NA,9,NA,6,NA,NA,NA,NA
61,delay,T,NA,0.6,0.533333333333333,15,5,0.888888888888889,9,0,6,0.533333333333333,0.0666666666666667,0,0.4
62,delay,C,T,NA,0.6,15,1,0.636363636363636,11,0.5,4,0.466666666666667,0.266666666666667,0.133333333333333,0.133333333333333
62,delay,C,NA,NA,0.8,15,2,NA,NA,NA,NA,NA,NA,NA,NA
62,delay,S,NA,NA,0.8,15,3,NA,NA,NA,NA,NA,NA,NA,NA
62,delay,T,C,0.733333333333333,NA,15,4,NA,11,NA,4,NA,NA,NA,NA
62,delay,T,NA,0.933333333333333,0.866666666666667,15,5,0.928571428571429,14,0,1,0.866666666666667,0.0666666666666667,0,0.0666666666666667
63,immediate,C,T,NA,0.333333333333333,15,1,0.444444444444444,9,0.166666666666667,6,0.266666666666667,0.333333333333333,0.0666666666666667,0.333333333333333
63,immediate,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
63,immediate,S,NA,NA,0.933333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
63,immediate,T,C,0.6,NA,15,4,NA,9,NA,6,NA,NA,NA,NA
63,immediate,T,NA,0.466666666666667,0.466666666666667,15,5,1,7,0,8,0.466666666666667,0,0,0.533333333333333
64,delay,C,T,NA,0.533333333333333,15,1,0.5,14,1,1,NA,NA,NA,NA
64,delay,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
64,delay,S,NA,NA,0.666666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
64,delay,T,C,0.933333333333333,NA,15,4,NA,14,NA,1,NA,NA,NA,NA
64,delay,T,NA,0.733333333333333,0.666666666666667,15,5,0.909090909090909,11,0,4,NA,NA,NA,NA
65,immediate,C,T,NA,0.333333333333333,15,1,0.5,6,0.222222222222222,9,0.2,0.2,0.133333333333333,0.466666666666667
65,immediate,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
65,immediate,S,NA,NA,0.666666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
65,immediate,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
65,immediate,T,NA,0.4,0.4,15,5,1,6,0,9,0.4,0,0,0.6
66,delay,C,T,NA,0.2,15,1,0.166666666666667,6,0.222222222222222,9,0.0666666666666667,0.333333333333333,0.133333333333333,0.466666666666667
66,delay,C,NA,NA,0.0666666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
66,delay,S,NA,NA,0.4,15,3,NA,NA,NA,NA,NA,NA,NA,NA
66,delay,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
66,delay,T,NA,0.333333333333333,0.333333333333333,15,5,1,5,0,10,0.333333333333333,0,0,0.666666666666667
67,delay,C,T,NA,0.133333333333333,15,1,0.25,4,0.0909090909090909,11,0.0666666666666667,0.2,0.0666666666666667,0.666666666666667
67,delay,C,NA,NA,0.0666666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
67,delay,S,NA,NA,0.0666666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
67,delay,T,C,0.266666666666667,NA,15,4,NA,4,NA,11,NA,NA,NA,NA
67,delay,T,NA,0.266666666666667,0.133333333333333,15,5,0.5,4,0,11,0.133333333333333,0.133333333333333,0,0.733333333333333
68,immediate,C,T,NA,1,15,1,1,15,NA,0,NA,NA,NA,NA
68,immediate,C,NA,NA,0.8,15,2,NA,NA,NA,NA,NA,NA,NA,NA
68,immediate,S,NA,NA,1,15,3,NA,NA,NA,NA,NA,NA,NA,NA
68,immediate,T,C,1,NA,15,4,NA,15,NA,0,NA,NA,NA,NA
68,immediate,T,NA,0.933333333333333,0.933333333333333,15,5,1,14,0,1,NA,NA,NA,NA
69,delay,C,T,NA,0.466666666666667,15,1,0.5,12,0.333333333333333,3,0.4,0.4,0.0666666666666667,0.133333333333333
69,delay,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
69,delay,S,NA,NA,0.666666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
69,delay,T,C,0.8,NA,15,4,NA,12,NA,3,NA,NA,NA,NA
69,delay,T,NA,0.6,0.533333333333333,15,5,0.888888888888889,9,0,6,0.533333333333333,0.0666666666666667,0,0.4
70,delay,C,T,NA,0.533333333333333,15,1,0.615384615384615,13,0,2,0.533333333333333,0.333333333333333,0,0.133333333333333
70,delay,C,NA,NA,0.333333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
70,delay,S,NA,NA,0.733333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
70,delay,T,C,0.866666666666667,NA,15,4,NA,13,NA,2,NA,NA,NA,NA
70,delay,T,NA,0.6,0.533333333333333,15,5,0.888888888888889,9,0,6,0.533333333333333,0.0666666666666667,0,0.4
71,delay,C,T,NA,0.133333333333333,15,1,0,2,0.153846153846154,13,0,0.133333333333333,0.133333333333333,0.733333333333333
71,delay,C,NA,NA,0.133333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
71,delay,S,NA,NA,0.266666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
71,delay,T,C,0.133333333333333,NA,15,4,NA,2,NA,13,NA,NA,NA,NA
71,delay,T,NA,0.266666666666667,0.2,15,5,0.75,4,0,11,0.2,0.0666666666666667,0,0.733333333333333
72,immediate,C,T,NA,0.733333333333333,15,1,0.769230769230769,13,0.5,2,0.666666666666667,0.2,0.0666666666666667,0.0666666666666667
72,immediate,C,NA,NA,0.666666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
72,immediate,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
72,immediate,T,C,0.866666666666667,NA,15,4,NA,13,NA,2,NA,NA,NA,NA
72,immediate,T,NA,0.733333333333333,0.8,15,5,1,11,0.25,4,0.733333333333333,0,0.0666666666666667,0.2
73,immediate,C,T,NA,0.933333333333333,15,1,0.9,10,1,5,NA,NA,NA,NA
73,immediate,C,NA,NA,0.333333333333333,15,2,NA,NA,NA,NA,NA,NA,NA,NA
73,immediate,S,NA,NA,0.8,15,3,NA,NA,NA,NA,NA,NA,NA,NA
73,immediate,T,C,0.666666666666667,NA,15,4,NA,10,NA,5,NA,NA,NA,NA
73,immediate,T,NA,0.6,0.6,15,5,1,9,0,6,NA,NA,NA,NA
74,immediate,C,T,NA,0.666666666666667,15,1,0.444444444444444,9,1,6,NA,NA,NA,NA
74,immediate,C,NA,NA,0.6,15,2,NA,NA,NA,NA,NA,NA,NA,NA
74,immediate,S,NA,NA,0.933333333333333,15,3,NA,NA,NA,NA,NA,NA,NA,NA
74,immediate,T,C,0.6,NA,15,4,NA,9,NA,6,NA,NA,NA,NA
74,immediate,T,NA,0.733333333333333,0.733333333333333,15,5,1,11,0,4,NA,NA,NA,NA
75,immediate,C,T,NA,0.6,15,1,0.75,8,0.428571428571429,7,0.4,0.133333333333333,0.2,0.266666666666667
75,immediate,C,NA,NA,0.266666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
75,immediate,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
75,immediate,T,C,0.533333333333333,NA,15,4,NA,8,NA,7,NA,NA,NA,NA
75,immediate,T,NA,0.733333333333333,0.666666666666667,15,5,0.909090909090909,11,0,4,0.666666666666667,0.0666666666666667,0,0.266666666666667
